id,language_id,meaning_id,romanised,phon_form,gloss,notes,_order,dubious,not_swadesh_term,phoneMic,rfcWebLookup1,rfcWebLookup2,nativeScript
,0,157,tálejā,,,,,,,tálejā,,,
,0,158,,,,,,,,,,,
,0,159,steros,,,,,,,steros,,,
,0,160,glínāmi,,,,,,,glínāmi,,,
,0,161,l∂pods,,,,,,,l∂pods,,,
,0,162,,,,,,,,,,,
,0,163,mendō,,,,,,,mendō,,,
,0,164,sā́weljos,,,,,,,sā́weljos,,,
,0,165,pankō,,,,,,,pankō,,,
,0,166,,,,,,,,,,,
,0,167,dumbos,,,,,,,dumbos,,,
,0,168,elne,,,,,,,elne,,,
,0,169,,,,,,,,,,,
,0,170,,,,,,,,,,,
,0,171,,,,,,,,,,,
,0,172,speimis,,,,,,,speimis,,,
,0,173,,,,,,,,,,,
,0,174,is,,,,,,,is,,,
,0,175,juwe,,,,,,,juwe,,,
,0,176,trija,,,,,,,trija,,,
,0,177,supājō,,,,,,,supājō,,,
,0,178,,,,,,,,,,,
,0,179,,,,,,,,,,,
,0,180,,,,,,,,,,,
,0,181,,,,,,,,,,,
,0,182,qerpō,,,,,,,qerpō,,,
,0,183,dwāu,,,,,,,dwāu,,,
,0,184,,,,,,,,,,,
,0,185,wadhō,,,,,,,wadhō,,,
,0,186,chormos,,,,,,,chormos,,,
,0,187,lowō,,,,,,,lowō,,,
,0,188,prúsneumi,,,,,,,prúsneumi,,,
,0,189,weje,,,,,,,weje,,,
,0,190,oucós,,,,,,,oucós,,,
,0,191,,,,,,,,,,,
,0,192,qṃdō,,,,,,,qṃdō,,,
,0,193,qoi,,,,,,,qoi,,,
,0,194,kweidos,,,,,,,kweidos,,,
,0,195,,,,,,,,,,,
,0,196,urús,,,,,,,urús,,,
,0,197,uksōr,,,,,,,uksōr,,,
,0,198,wondhejō,,,,,,,wondhejō,,,
,0,199,,,,,,,,,,,
,0,200,tergō,,,,,,,tergō,,,
,0,201,,,,,,,,,,,
,0,202,morignā,,,,,,,morignā,,,
,0,203,,,,,,,,,,,
,0,204,ochis,,,,,,,ochis,,,
,0,205,,,,,,,,,,,
,0,206,,,,,,,,,,,
,0,207,knakos,,,,,,,knakos,,,
,0,130,,,,,,,,,,,
,0,87,teupō,,,,,,,teupō,,,
,0,49,onghlos,,,,,,,onghlos,,,
,0,102,,,,,,,,,,,
,0,62,plētós,,,,,,,plētós,,,
,0,78,,,,,,,,,,,
,0,18,ṛklā,,,,,,,ṛklā,,,
,0,196,,,,,,,,,,,
,0,205,juwe,,,,,,,juwe,,,
,0,175,juwe,,,,,,,juwe,,,
,0,212,,,,,,,,,,,
,0,208,,,,,,,,,,,
,0,209,morjods,,,,,,,morjods,,,
,0,210,,,,,,,,,,,
,0,211,petō,,,,,,,petō,,,
,0,213,unksrā,,,,,,,unksrā,,,
,0,214,,,,,,,,,,,
,0,215,,,,,,,,,,,
,0,216,,,,,,,,,,,
,0,217,,,,,,,,,,,
,0,218,leitō,,,,,,,leitō,,,
,0,219,dhewō,,,,,,,dhewō,,,
,0,220,,,,,,,,,,,
,0,221,labhō,,,,,,,labhō,,,
,0,222,keudhō,,,,,,,keudhō,,,
,0,223,kreugō,,,,,,,kreugō,,,
,0,225,melō,,,,,,,melō,,,
,0,226,,,,,,,,,,,
,0,224,dh∂kjō,,,,,,,dh∂kjō,,,
,0,186,,,,,,,,,,,
,0,10,,,,,,,,,,,
,0,184,,,,,,,,,,,
