id,language_id,meaning_id,romanised,phon_form,gloss,notes,_order,dubious,not_swadesh_term,phoneMic,rfcWebLookup1,rfcWebLookup2,nativeScript
,0,187,klewō,,,,,,,klewō,,,
,0,188,āps,,,,,,,āps,,,
,0,189,wejes,,,,,,,wejes,,,
,0,190,molqos,,,,,,,molqos,,,
,0,191,qis,,,,,,,qis,,,
,0,192,jom,,,,,,,jom,,,
,0,193,jodhei,,,,,,,jodhei,,,
,0,194,argis,,,,,,,argis,,,
,0,195,,,,,,,,,,,
,0,196,plākos,,,,,,,plākos,,,
,0,197,sṃloghós,,,,,,,sṃloghós,,,
,0,198,gergō,,,,,,,gergō,,,
,0,199,agslā,,,,,,,agslā,,,
,0,200,mṇtrājō,,,,,,,mṇtrājō,,,
,0,201,kṃti,,,,,,,kṃti,,,
,0,202,cenā,,,,,,,cenā,,,
,0,203,nemos,,,,,,,nemos,,,
,0,204,longhros,,,,,,,longhros,,,
,0,205,jāi,,,,,,,jāi,,,
,0,206,atnos,,,,,,,atnos,,,
,0,207,bhlōwos,,,,,,,bhlōwos,,,
,0,130,wolwós,,,,,,,wolwós,,,
,0,87,genu,,,,,,,genu,,,
,0,49,klawos,,,,,,,klawos,,,
,0,102,louksnā,,,,,,,louksnā,,,
,0,62,plēnós,,,,,,,plēnós,,,
,0,78,kṛnu,,,,,,,kṛnu,,,
,0,18,pegtos,,,,,,,pegtos,,,
,0,196,plātús,,,,,,,plātús,,,
,0,205,juwes,,,,,,,juwes,,,
,0,175,juwes,,,,,,,juwes,,,
,0,212,dhghjesi,,,,,,,dhghjesi,,,
,0,208,mṛmeikā,,,,,,,mṛmeikā,,,
,0,209,bhemṛ,,,,,,,bhemṛ,,,
,0,210,onbhlos,,,,,,,onbhlos,,,
,0,211,cḷājō,,,,,,,cḷājō,,,
,0,213,skotos,,,,,,,skotos,,,
,0,214,weiks,,,,,,,weiks,,,
,0,215,bhidrós,,,,,,,bhidrós,,,
,0,216,kartús,,,,,,,kartús,,,
